GemName,carat,cut,clarity,depth,table,x,y,z,Lab_L,Lab_a,Lab_b,XYZ_X,XYZ_Y,XYZ_Z,Wavelength,Reflectance,Color
Ruby,1.84,Premium,SI2,57.74,51.3,8.94,6.1,4.18,69.52,2.96,3.28,0.493,0.129,0.302,700,0.51,LightYellow
Emerald,4.56,Very Good,IF,56.85,57.54,3.65,6.01,5.42,68.36,3.88,0.49,0.459,0.543,0.478,450,0.31,White
Ruby,4.57,Very Good,VVS2,64.47,62.95,4.06,7.35,6.15,77.12,2.3,-4.61,0.534,0.476,0.164,550,,Green
Emerald,2.96,Very Good,VVS1,57.97,68.21,6.32,5.43,4.23,78.24,3.3,3.18,0.111,0.566,0.372,650,0.3,FaintYellow
Topaz,3.57,Very Good,VVS1,62.05,65.88,7.13,6.17,2.67,68.39,3.31,-0.27,0.152,0.213,0.541,450,0.57,FaintYellow
Emerald,4.3,Very Good,IF,58.41,55.01,3.58,8.95,5.48,78.59,1.63,2.15,0.31,0.123,0.519,650,0.57,Blue
Sapphire,4.8,Ideal,SI2,64.7,62.7,5.63,9.64,5.41,78.43,4,2.46,0.531,0.347,0.278,550,0.52,White
Amethyst,2.55,Ideal,SI1,64.88,63.28,9.28,6.39,5.04,62.59,3.19,-4.6,0.245,0.258,0.294,600,0.46,Green
Amethyst,2.9,Very Good,VVS1,63.25,51.81,9.13,7.94,4.62,69.28,1.48,-2.75,0.474,0.307,0.347,450,0.33,Green
Amethyst,2.2,Good,VS1,60.81,58.54,5.18,6.83,3.44,76.11,4.79,3.33,0.234,0.332,0.383,400,0.6,Violet
Amethyst,0.55,Good,VVS2,60.42,,4.59,9.07,5.37,63,1.99,-0.09,0.599,0.496,0.41,450,0.4,White
Diamond,2.23,Very Good,,58.29,53.14,7.08,4.83,6.43,64.81,2.65,-4.68,0.521,0.458,0.168,550,0.47,Red
Sapphire,4,Ideal,SI2,56.22,51.17,3.67,9.04,4.11,71.07,4.78,4.59,0.331,0.49,0.398,450,0.36,Violet
Amethyst,4.06,Good,VVS2,55.79,50.54,4.63,6.61,2.73,62.44,2.33,1.18,0.544,0.213,0.35,400,0.54,White
Ruby,4.48,Ideal,SI2,59.65,67.17,4.17,6.19,3.01,66.73,1.74,-1.01,0.403,0.121,0.108,550,0.55,FaintYellow
Diamond,0.45,Premium,SI2,64.79,56.61,4.45,9.66,3.16,70.29,4.93,4.01,0.165,0.539,0.25,550,0.54,Violet
Topaz,2.73,Ideal,VVS2,57.47,59.86,4.5,5.14,4.86,75.83,4.98,-3.68,0.429,0.287,0.377,600,0.33,FaintYellow
,0.72,Very Good,VS2,59.11,55.83,7.39,3.58,5.45,63.15,3.75,4.75,0.358,0.267,0.511,,0.68,Blue
Sapphire,1.16,Fair,SI1,61.41,53.32,6.42,7.7,3.57,74.43,4.58,-2.4,0.201,0.469,0.232,600,0.51,Blue
Topaz,4.52,Very Good,SI2,58.51,55.23,9.04,4.84,5.29,78.96,5,0.61,0.14,0.161,0.123,400,0.5,Green
Diamond,2.58,Premium,VVS1,55.04,53.4,8.15,7.49,2.4,64.14,1.59,3.18,0.542,0.285,0.439,600,0.55,FaintYellow
Topaz,3.84,Ideal,VVS1,58.96,65.16,6.49,3.39,6.04,64.54,4.37,-2.34,0.292,0.329,0.103,500,0.54,Blue
Amethyst,0.51,Good,VVS2,63.05,68.15,5.15,6.94,2.3,75.69,1.19,-2.09,0.543,0.594,0.594,400,0.4,Blue
Ruby,2.2,Very Good,VVS1,64.44,58.69,8.82,4.66,5.61,62.69,3.58,0.91,0.472,0.485,0.171,700,0.48,Violet
Topaz,3.44,Good,SI2,57.75,66.46,3.56,3.53,5.2,69.41,3.5,-4.26,0.115,0.532,0.324,650,0.44,FaintYellow
Sapphire,0.84,Ideal,SI2,64.22,58.52,7.77,3.39,4.9,68.27,2.95,2.58,0.507,0.51,0.177,600,0.55,Blue
Diamond,1.76,Fair,VS1,63.67,58.94,3.79,9.7,2.27,70.23,3.3,-1.91,0.216,0.243,0.331,500,0.37,Green
Sapphire,3.65,Very Good,SI2,59.07,59.7,6.73,4.86,4.34,70.38,2.11,4.56,0.309,0.187,0.415,500,0.32,Blue
Amethyst,3.33,Good,VS1,55.05,66.4,9.31,7.07,2.55,71.16,1.03,-2.11,0.278,0.57,0.584,550,0.56,Blue
Ruby,4.86,Very Good,VS2,63.45,68.73,4.67,,3.98,76.36,1.75,4.41,0.107,0.131,0.217,500,0.54,White
Amethyst,4.17,Very Good,SI2,57.87,64.89,3.55,5.54,2.76,68.52,4.74,-3.87,0.527,0.385,0.351,700,0.64,FaintYellow
Amethyst,4.88,Good,VVS2,62.56,67.77,5.38,6.8,2.7,64.31,2.09,-0.99,0.453,0.268,0.227,400,0.35,Green
Ruby,4.26,Premium,SI1,60.72,62.85,6.35,6.92,4.58,75.72,3.85,1.5,0.334,0.462,0.167,450,0.57,
Amethyst,4.3,Very Good,VS1,57.22,66.79,8.07,8.86,3.28,79.59,2.82,-2.39,0.294,0.227,0.497,650,0.35,FaintYellow
Emerald,2.97,Premium,IF,61.48,61.14,3.21,5.7,5.47,62.52,4.92,2.47,0.58,0.482,0.101,400,0.34,Green
Topaz,2.69,Premium,VVS1,62.65,65.45,3.92,5.47,3.14,65.21,4.91,3.63,0.538,0.321,0.24,450,0.31,Red
Sapphire,2.15,Ideal,SI1,59.74,64.11,5.88,7.75,3.51,79.55,3.12,4.42,0.593,0.356,0.127,650,0.31,White
Emerald,4.13,Good,VVS2,62.48,64.99,3.67,5.6,4.66,64.43,2.38,4.78,0.261,0.485,0.109,500,0.31,FaintYellow
Topaz,1.07,Ideal,VS1,59.05,54.69,9.69,6.58,2.04,68.45,2.61,-4.45,0.416,0.417,0.38,500,0.65,White
Emerald,0.47,Fair,VS2,64.8,53.08,6.58,4.21,5.79,61.67,2.43,1.05,0.25,0.454,0.253,400,0.58,Red
Emerald,4.75,Ideal,VS1,57.4,63.06,5.64,4.99,2.41,66.1,1.23,3.59,0.131,0.402,0.369,400,0.63,White
Amethyst,0.22,Very Good,IF,52.46,59.66,9.86,8.23,2.12,65.18,1.2,3.74,0.522,0.551,0.458,450,0.56,Green
Amethyst,4.89,Very Good,,62.5,65.29,7.52,8.88,5.48,79.15,3.25,,0.317,0.224,0.499,600,0.45,Green
Diamond,3.7,Very Good,VVS2,60.29,52.93,6.61,8.59,5.6,62.81,3.3,-4.88,0.537,0.239,0.337,550,0.64,LightYellow
Diamond,1.78,Fair,VS2,58.5,68.95,4.69,5.74,4.87,66.2,1.29,2.68,0.321,0.503,0.331,400,0.37,White
Topaz,3.55,Premium,SI2,59.46,64.08,4.77,6.08,5.74,61.59,2.55,4.39,0.123,0.128,0.179,600,0.68,Violet
Topaz,4.13,Very Good,VS2,61.29,50.46,5.54,5.87,6.13,73.44,4.68,-4.96,0.124,0.257,0.434,550,0.42,Red
Ruby,1.38,Ideal,IF,60.3,61.53,8.26,4.35,3.01,79.73,2.75,-4.56,0.447,0.56,0.207,650,0.33,Red
,3.9,Premium,VVS2,62.62,56.25,8.71,8.48,4.02,63.06,2.42,2.74,0.464,0.269,0.419,550,0.41,White
Ruby,4.06,Ideal,IF,58.61,55.49,4.34,8.8,3.82,72.54,1.29,2.79,0.592,0.565,0.493,650,0.68,White
Ruby,1.4,Ideal,IF,56.07,68.04,,7.27,2.76,63.07,4.31,-2.89,0.314,0.52,0.324,500,0.43,Blue
Emerald,0.4,Very Good,IF,60.06,66.72,5.32,8.19,3.19,64.53,3.36,2.17,0.507,0.514,0.404,450,0.42,Violet
Sapphire,1.18,Ideal,VS1,57.59,50.19,4.4,7.57,3.84,70.84,1.67,3.83,0.248,0.153,0.212,650,0.39,LightYellow
Sapphire,1.16,Fair,VVS1,61.17,53.63,4.36,3.72,2.46,78.99,2.66,-2.42,0.221,0.113,0.534,700,0.47,Violet
Sapphire,0.51,Premium,VS1,60.2,64.39,6.24,6.86,5.41,69.5,3.92,-0.53,0.114,0.528,0.414,400,0.42,Blue
Amethyst,3.68,Very Good,VVS2,62.79,66.96,8.37,5.43,4.74,69.01,2.06,-0.14,0.366,0.455,0.36,550,0.41,Blue
Amethyst,2.02,Very Good,SI1,60.75,64.35,7,4.54,6.15,62.74,2.95,-0.86,0.22,0.288,0.364,600,0.62,Red
Ruby,4.45,Ideal,IF,59.31,60.51,6.25,7.65,2.14,71.27,3.17,,0.4,0.268,0.394,450,0.43,LightYellow
Amethyst,1.41,Ideal,IF,56.2,69.69,3.13,9.22,4.93,69.25,3.86,4.89,0.263,0.137,0.412,550,0.38,Green
Ruby,2.38,Good,VVS1,56.2,65.95,6.94,10,5.53,66.69,,0.71,0.462,0.371,0.405,650,0.57,Blue
Amethyst,3.27,Good,VS2,61.4,59.36,7.72,7.04,4.3,,2.83,2.15,0.423,0.358,0.442,700,0.34,Green
Sapphire,4.41,Very Good,IF,63.81,61.67,3.69,7.71,6.35,65.96,1.69,-3.93,0.57,0.417,,700,0.39,Green
Emerald,2.72,Very Good,VS1,59.15,50.9,9.69,7.56,2.17,78.06,2.24,0.1,0.341,0.479,0.215,450,0.57,FaintYellow
Diamond,1.99,Ideal,SI2,60.31,69.29,3.64,7.87,4.36,77.45,2.55,3.96,0.229,0.269,0.501,400,0.39,White
Diamond,4.36,Fair,IF,60.91,57.25,7.83,4.72,3.41,69.73,4.66,2.13,0.318,0.352,0.495,450,0.31,Violet
Ruby,,Fair,VVS2,59.77,63.23,6.67,4.12,6.38,78.16,3.63,-2.2,0.576,0.3,0.156,450,0.61,LightYellow
Ruby,0.58,Ideal,SI2,55.6,63.34,9.19,5.85,6.31,79.23,3.16,3.43,0.401,0.12,0.324,450,0.44,Blue
Topaz,2.34,Good,VVS1,60.89,51.14,5.9,6.26,2.44,60.73,3.04,-4.48,0.409,0.214,0.418,650,0.49,LightYellow
Ruby,3.97,Good,SI1,56.37,55.32,6.56,8.34,3.77,77.05,3.62,4.85,0.576,0.524,0.127,700,0.52,Blue
Sapphire,0.35,Fair,VS2,60.56,63.12,6.87,7.36,2.99,68.05,1.92,2.58,0.586,0.358,0.539,400,0.53,Violet
Diamond,3.01,Very Good,SI1,62.75,68.24,9.12,6.87,5.73,79.9,2.71,4.51,0.57,0.408,0.233,400,0.31,FaintYellow
Ruby,3.05,Ideal,VVS2,55.05,65.57,8.6,6.49,6.1,66.86,3.26,3.55,0.36,0.435,0.248,650,0.63,FaintYellow
Ruby,4.66,Very Good,VS1,59.3,61.6,4.96,4.56,5.98,76.66,2.47,2.71,0.459,0.547,0.481,600,0.4,Green
Topaz,1.58,Good,SI1,62.46,54.65,9.69,5.61,3.61,64.41,1.21,-0.58,0.285,0.321,0.456,550,0.57,White
Sapphire,1.54,Fair,VVS2,60.29,68.98,8.27,3.77,3.36,78.6,2.71,3.08,0.561,0.557,0.587,550,0.56,White
Sapphire,2.31,Very Good,SI1,57.35,58.07,3.08,3.46,5.04,74.85,1.56,-4.24,0.542,0.596,0.295,500,0.56,Green
Sapphire,1.91,Good,IF,61.98,53,4.29,3.09,6.19,65.68,4.14,-2.72,0.449,0.465,0.336,600,0.67,FaintYellow
Ruby,3.73,Good,VVS1,62.83,50.43,8.99,3.61,2.28,73.75,3.02,3.87,0.174,0.491,0.496,400,0.48,Red
Amethyst,3.28,Good,IF,58.63,69,7.52,7.16,2.26,68.71,4.87,1.99,0.279,0.579,0.514,500,0.51,Violet
Ruby,3.84,Very Good,VVS1,57.97,65.56,4.81,,3.82,77.19,2.47,-3.14,0.567,0.37,0.134,400,0.35,FaintYellow
Ruby,4.14,Premium,VS1,60.45,54.33,4.2,3.2,3.88,60.12,2.06,-0.84,0.504,0.354,0.17,700,0.44,FaintYellow
Sapphire,4.63,Fair,VVS2,58.65,52.84,4.03,8.48,4.22,70.47,4.99,2.13,0.164,0.104,0.351,450,0.31,Red
Ruby,2.27,Good,SI1,63.36,69.19,5.23,7.66,4.25,73.63,2.29,2.96,0.579,0.226,0.409,550,0.43,Blue
Emerald,4.93,Very Good,VVS1,62.79,54.82,9.29,9.01,4.09,67.94,2.6,3.4,0.156,0.381,0.575,500,0.5,
Emerald,1.24,Ideal,VVS2,58.12,59.24,5.46,9.62,5.52,69.47,1.04,-3.52,,0.584,0.277,700,0.32,FaintYellow
Ruby,3.63,Fair,SI2,59.57,62.22,7.62,8.69,5.44,64.8,1.85,-4.93,0.335,0.296,0.386,400,0.57,LightYellow
Amethyst,2.76,Ideal,SI1,63.89,51.25,3.78,8.58,5.38,68.35,4.1,-3.66,0.553,0.548,0.425,650,0.48,LightYellow
Emerald,4.12,Ideal,SI2,56.47,56.89,6.72,3.6,3.47,78.42,3.82,-0.08,0.164,0.194,0.241,450,0.33,LightYellow
Emerald,2.49,Very Good,SI2,62.54,68.87,5.4,5.51,2.08,67.69,2.6,4.22,0.127,0.343,0.571,600,0.47,LightYellow
Emerald,3.96,Premium,VVS1,58.17,64.01,4.12,7.32,5.7,,4.67,-3.06,0.496,0.265,0.211,700,0.36,White
Emerald,4.66,Very Good,IF,56.19,57.36,8.58,3.12,6.17,69.31,3.17,2.71,0.338,0.448,0.107,400,0.64,White
Ruby,3.72,Very Good,VVS1,,65.83,8.71,6.32,4.58,72.41,3.52,1.79,0.6,0.515,0.389,700,0.51,Green
Diamond,3.93,Fair,VVS1,57.76,66.74,5.14,3.06,2.54,60.09,4.21,4.64,0.162,0.102,0.417,550,0.53,Violet
Sapphire,0.52,Very Good,VS2,,53.04,7.58,8.19,2.71,63.74,3.81,-2.09,0.124,0.119,0.4,550,0.44,Blue
Diamond,1.18,Fair,SI1,64.08,61.73,5.76,4.86,5.86,67.11,1.6,1.86,0.244,0.386,0.225,400,0.45,White
Sapphire,4.88,Good,SI1,58.03,57.34,3.31,8.28,4.98,66.56,2.91,-4.7,0.152,0.365,0.511,600,0.39,White
Sapphire,3.53,Fair,SI2,56.99,60.14,5.99,6.36,3.11,74.39,3.41,-2.6,0.137,0.388,0.158,550,0.61,White
Diamond,2.89,Very Good,VS1,59.79,59.38,7.03,3.76,2.84,70.97,1.2,1.25,0.598,0.147,0.12,650,0.31,FaintYellow
Topaz,1.96,Good,SI1,56.57,60.08,5.09,9.44,3.31,64.33,1.98,4.71,0.554,0.279,0.227,400,0.52,Blue
Topaz,0.41,,IF,57.72,60.44,9.64,7.89,3.39,72.11,4.13,,0.364,0.107,0.338,650,0.37,Blue
Amethyst,1.97,Premium,IF,64.87,51.39,6.91,8.07,5.68,62.62,4.82,1.64,0.118,0.57,0.529,450,0.64,Red
Ruby,2.59,Very Good,VVS2,60.58,53.55,5.6,,6.04,77.35,4.92,-4.26,0.523,0.253,0.207,550,0.57,Violet
Topaz,,Ideal,VVS1,62.84,61.32,8.15,3.88,3.13,74.99,3.87,-4.89,0.284,0.154,0.507,650,0.35,LightYellow
Sapphire,1.03,Very Good,VVS1,57.12,68.72,5.39,9.68,2.86,66.92,3.81,-3.5,0.464,0.439,0.399,500,0.47,Red
Emerald,2.64,Ideal,SI1,60.2,64.93,3.17,5.42,4.49,60.97,3.82,0.81,0.471,0.17,0.48,400,0.49,Red
Diamond,3.01,Premium,VVS1,60.11,54.77,3.06,4.64,4.55,75.66,2.19,3.1,0.541,0.121,0.322,550,0.69,White
Sapphire,1.35,Very Good,IF,63.13,57.23,5.11,9.15,3.02,64.87,2.64,-1.37,0.599,0.248,0.116,450,0.55,FaintYellow
Ruby,3.02,Premium,VS2,55.22,56.71,4.09,6.24,5.68,65.18,1.72,2,0.556,0.558,0.212,400,0.6,LightYellow
Sapphire,4.52,Ideal,VVS2,63.6,65.39,5.47,7.58,6.14,68.63,2.88,-0.24,0.485,0.438,0.251,650,0.59,FaintYellow
Ruby,2.47,Fair,VVS1,55.8,69.44,8.39,4.86,2.37,72.17,1.16,3.18,0.272,0.103,0.138,550,0.48,Red
Diamond,4.32,Very Good,VS2,64.17,57.11,5.16,9.78,5.42,60.69,,-3.96,0.549,0.572,0.179,650,0.55,Violet
Sapphire,4.65,Good,SI1,56.43,50.3,6.92,6.32,4.26,76.51,4.79,0.84,0.246,0.545,0.167,450,0.38,White
Emerald,0.64,Good,VS1,60.32,68.74,9.44,5.97,2.88,60.68,1.55,4.32,0.425,0.191,0.174,450,0.59,Red
Amethyst,0.66,Premium,IF,55.99,65.06,7.89,3.45,3.93,63.5,2.94,-4.11,0.594,0.354,0.416,400,0.44,Blue
Topaz,2.49,Fair,VS1,59.47,66.69,6.93,7.96,4.28,64.54,2.76,-2.37,0.55,0.566,0.295,500,0.43,LightYellow
Amethyst,3.02,Good,IF,57.99,54.17,9.07,6.79,4.64,76.99,3.98,-2.27,0.379,0.429,0.468,550,0.64,LightYellow
Amethyst,2.24,Good,VVS2,59.2,62.91,5.31,9.76,2.15,74.92,3.06,1.53,0.159,0.104,0.423,550,0.41,Green
Topaz,1.77,Very Good,SI1,60.45,54.65,4.38,3.89,5.13,72.21,2.79,2.81,0.494,,0.167,400,0.32,Red
Diamond,3.28,Good,VS1,59.59,50.23,8.23,5.74,4.29,67.12,1.56,1.4,0.383,0.104,0.325,450,0.62,Blue
Ruby,0.21,Ideal,VVS2,55.23,53.14,3.41,4.78,4.88,71.06,2.14,-0.52,0.391,,0.31,600,0.33,FaintYellow
Ruby,4.85,Premium,SI2,63.63,68.46,5.97,,5.82,61.02,3.35,-2.49,0.371,0.451,0.365,400,0.38,Blue
Topaz,1.31,Good,SI2,55.95,54.31,5.01,3.5,4.54,77.32,1.16,4.29,0.265,0.277,0.525,500,0.34,LightYellow
Topaz,4.6,,VVS2,64.81,61.7,9.8,9.95,6.03,73.84,2.33,-3.19,0.159,0.192,0.244,600,0.31,LightYellow
Topaz,0.72,Ideal,VVS2,63.51,69.36,5.64,8,5.57,73.34,1.57,2.69,0.243,0.6,0.367,650,0.61,LightYellow
Ruby,1.34,Good,VS1,60.61,51.51,7.64,5.67,4.83,79.69,1.3,-3.43,0.5,0.379,0.289,650,0.59,FaintYellow
Sapphire,1.33,Premium,VS1,57.45,66.16,,5.58,4.62,70.66,2.7,-0.77,0.136,0.336,0.546,700,0.56,LightYellow
Emerald,4.98,Premium,VS1,55.86,61.95,9.88,6.36,3.94,61.46,2.22,-1.99,0.429,0.501,0.222,600,0.6,LightYellow
Topaz,0.22,Premium,SI2,61.72,56.47,4.26,7.89,5.96,64.56,3.29,-2.13,0.259,0.395,0.256,650,0.52,Blue
Amethyst,3.27,Good,SI2,57.02,57.29,9.35,7.14,,63.21,,-1.94,0.261,0.178,0.338,550,0.48,Green
Sapphire,4.37,Ideal,VVS1,62.33,50.54,6.12,6.39,2.09,78.82,1.22,3.25,,0.217,0.265,450,0.34,White
Sapphire,3.43,Fair,VVS2,63.33,55.12,5.99,4.37,2.15,62.55,1.14,-2.68,0.297,0.513,0.483,500,0.68,Green
Sapphire,1.94,Premium,SI1,64.89,58.47,7.91,4.22,6.17,60.45,2.73,-2.75,0.515,0.345,0.526,550,,FaintYellow
Amethyst,4.8,Ideal,VVS1,60.04,64.34,3.65,9.41,2.53,66.04,1.03,-1.68,0.538,0.188,0.362,500,0.42,White
Topaz,4.49,Very Good,IF,64.75,55.5,6.83,6.86,5.54,62.44,1.22,1.5,0.502,0.578,0.262,450,0.7,Green
Topaz,2.28,Very Good,SI2,56.49,61.61,4.54,7.06,5.82,72.41,2.37,0.54,0.558,0.499,0.426,600,0.44,Red
Topaz,2.95,Ideal,VS1,63.36,64.63,4.1,6.03,4.48,64.47,4.76,-0.75,0.361,0.51,0.314,400,0.44,White
Emerald,4.84,Very Good,SI1,58.6,63.97,9.14,7.96,5.78,76.85,3.86,4.4,0.27,0.55,0.404,650,0.51,Violet
Emerald,4.92,Very Good,VS2,58.65,61.81,9.98,8.61,2.48,62.86,3.96,-3.28,0.228,0.263,0.439,600,0.68,White
Ruby,2.36,Premium,IF,57.69,61.6,9.8,5.88,6.5,63.05,1.68,-3.8,0.512,0.208,0.484,450,0.5,Blue
Emerald,4.27,Good,VVS2,56.73,64.42,8.75,3.37,4.69,72.15,3.28,-3.23,0.236,0.195,0.41,450,0.55,Red
Diamond,1.65,,SI2,59.42,56.71,9.44,4.77,5.84,61.64,1.92,1.06,0.448,0.448,0.407,600,0.36,White
Diamond,1.98,Good,SI2,64.87,59,9.47,8.75,3.23,61.01,3.07,2.89,0.275,0.218,0.594,500,0.42,Green
Sapphire,0.99,Good,VVS2,58.3,69.32,4.23,6.92,3.4,63.68,4.25,2.45,0.364,0.372,0.235,600,0.37,LightYellow
Sapphire,1.2,Ideal,SI1,59.61,63.37,3.6,9.17,2.69,70.53,2.73,4.11,0.525,,0.338,450,0.49,Blue
Amethyst,3.35,Premium,VVS1,57.29,60.4,3.89,5.67,5.22,70.96,1.91,2.32,0.182,0.114,0.237,600,0.55,FaintYellow
Emerald,2.65,Ideal,SI2,58.37,61.57,4.14,5.2,2.11,67.69,2.23,5,0.253,0.162,0.538,700,0.42,LightYellow
Amethyst,1.31,Very Good,VS1,55.55,52.09,8.76,3.01,2.49,69.34,2.96,0.49,0.137,0.312,0.533,700,0.35,LightYellow
Topaz,2.13,Premium,SI2,64.56,61.84,9.59,4.26,2.78,69.1,4.24,4.95,0.28,0.566,0.125,550,0.39,LightYellow
Ruby,1.99,Fair,SI1,60.1,66.73,5.46,5.35,5.11,69.15,3.54,0.37,0.449,0.337,0.444,400,0.69,Blue
Amethyst,4.94,Good,VS1,62.33,60.47,3.24,3.56,4.94,65.33,4.82,-4.19,0.378,0.35,0.565,400,0.38,Green
Emerald,4.3,Very Good,SI2,60.13,,5.15,7.23,4.8,63.39,4.91,3.04,0.271,0.125,0.513,400,0.36,FaintYellow
Amethyst,2.06,Good,IF,62.7,58.96,7.94,9.93,3.86,67.83,2.25,3.86,0.319,0.383,0.43,450,0.53,White
Topaz,4.59,Good,SI1,60.34,55.56,9.6,3.41,6.21,69.27,3.64,-0.52,0.215,0.6,0.257,400,0.7,Blue
Ruby,1.84,Good,IF,62.02,57.19,6.15,5.74,6.33,79.07,3.83,-3.51,0.418,0.426,,600,0.38,Blue
Amethyst,3.41,Fair,IF,61.85,54.5,5.35,5.8,3.66,74.97,3.24,4.37,0.182,0.581,0.118,550,0.49,Blue
Sapphire,4.84,Very Good,VS2,60.34,56.68,7.57,3.49,4.37,77.23,4.21,4.01,0.239,0.563,0.219,600,0.55,FaintYellow
Ruby,2.07,Good,VS2,57.31,66.43,4.48,4.3,5.12,67.73,2.1,-2.37,0.458,0.517,0.57,600,0.35,Green
Diamond,3.46,Good,VVS2,57.12,65.15,8.36,6.17,3.21,71.45,4.05,-3.3,0.257,0.207,0.347,650,0.52,
Topaz,1.62,Premium,SI2,63.74,59.81,5.9,9.69,5.43,74.85,2,-4.06,0.473,0.334,0.18,650,0.35,Blue
Emerald,1.48,Good,VVS2,56.21,65.65,9.84,6.99,5.46,63.67,3.17,-2.78,0.167,0.395,0.424,400,0.48,Red
Ruby,2.96,Premium,VVS2,60.59,69.51,9.54,3.7,4.25,69.18,1.45,3.24,0.453,0.442,0.168,450,0.69,LightYellow
Diamond,4.9,Very Good,SI1,,58.12,7.66,8.2,3.87,66.97,3.74,0.83,0.336,0.38,0.344,550,0.41,Blue
Ruby,2.38,Very Good,VS1,62.98,69.6,7.54,9,4.88,70.96,4.43,-0.17,0.356,0.388,0.522,700,0.59,LightYellow
Topaz,4.7,Very Good,VVS2,56.35,54.92,3.86,8.66,2.07,65.84,3.96,3.99,0.334,0.221,0.434,600,0.53,Green
Amethyst,4.59,Premium,VVS1,61.87,69.09,4.97,8.73,5.85,67.09,4.81,-1.58,0.23,0.191,0.409,500,0.49,LightYellow
Ruby,1.42,Fair,IF,61.06,67.29,9.03,8.68,5.89,76.65,4.96,-0.34,0.421,0.203,0.483,450,0.66,Red
Ruby,2.13,Fair,SI1,62.01,53.98,5.54,4.56,4.27,75.55,2.84,4.55,0.258,0.243,0.502,500,0.56,White
Amethyst,3.29,Good,VS1,61.21,57,5.97,7.16,,68.14,1.62,-2.23,0.323,0.208,0.408,550,0.38,FaintYellow
Diamond,2.69,Very Good,SI2,60.63,64.16,8.88,4.14,3.67,61.96,3.85,1.92,0.241,0.273,0.462,550,0.56,Violet
Topaz,0.66,Ideal,VS2,64.26,53.83,5.99,5.3,4.05,65.71,2.68,-3.32,0.29,0.415,0.233,550,0.43,Red
Sapphire,4.97,Good,IF,58.49,61.81,8.95,5.92,5.78,74.64,2.54,0.54,0.101,0.459,0.451,,0.39,Violet
Ruby,3.81,Fair,VVS2,56.85,60.7,3.49,6.02,2.15,75.11,1.73,3.51,0.351,0.338,0.158,550,0.56,FaintYellow
Emerald,2.3,Fair,VS2,62.95,55.84,7.84,6.07,4.29,66.49,1.16,-2.02,0.355,0.195,0.353,550,0.56,Red
Emerald,3.17,Very Good,VS2,56.3,56.01,3.44,8.48,4.07,78.79,4.06,-3.24,0.362,0.418,0.525,650,0.68,Violet
Amethyst,0.62,Premium,VS2,61.8,60.33,8.53,7.34,3,70.03,2.93,3.75,0.341,0.543,0.323,650,0.65,Red
Amethyst,2.58,Good,SI1,,56,6.87,7.49,3.1,77.57,2.59,-3.21,0.313,0.465,0.245,450,0.36,Green
Amethyst,4.67,Premium,IF,55.01,53.61,6.89,8.38,4.61,70.6,2.47,4.08,0.432,0.146,0.406,450,0.52,Green
Ruby,4.5,Fair,VS1,57.4,65.47,5.64,4.45,6.36,60.24,3.02,2.24,0.201,0.176,0.178,450,0.38,FaintYellow
Emerald,1.82,Very Good,IF,59.96,61.64,9.32,6.25,5.57,61.99,3.97,-3.29,0.387,0.384,0.217,650,0.46,LightYellow
Emerald,2.75,Fair,VVS1,58.3,58.75,6.56,8.99,4.25,62.1,2.74,3.97,0.55,0.44,0.227,400,0.37,White
Sapphire,3.55,Very Good,VVS2,59.27,53.62,4.82,7.94,4.58,74.35,1.38,-2.53,0.16,0.239,0.284,600,0.49,White
Ruby,1.83,Ideal,SI1,61.01,61.89,8.77,9.16,4.58,77.2,2.03,-2.44,0.176,0.202,0.315,550,0.43,Red
Topaz,0.51,Premium,VS1,62.31,62.57,9.64,6.17,5.16,70.51,1.53,2.57,0.533,0.296,0.51,500,0.59,LightYellow
Emerald,2.63,Good,SI1,56.51,59.6,4.7,,3.52,77.09,1.76,1.17,0.553,0.193,0.239,400,0.38,FaintYellow
Ruby,3.09,Very Good,VS1,57.83,57.45,7.24,4.86,5.04,67.44,4.5,3.29,0.485,0.353,0.374,650,0.58,Green
Ruby,0.23,Ideal,VVS2,61.36,67.34,7.12,9.07,3.14,62.04,1.69,-1.06,0.135,0.137,0.23,500,0.5,Violet
Emerald,0.66,Ideal,SI2,60.88,64.1,7.27,,5.61,65.18,3.9,2.27,0.152,0.495,0.226,450,0.32,Violet
Ruby,1.19,Premium,VVS1,62.37,57.12,6.95,5.38,6.23,62.36,2.21,0.52,,0.473,0.291,550,0.55,Blue
Topaz,1.87,Very Good,VS2,61.41,61.86,3.7,8.02,4.52,77.72,4.61,0.19,0.599,0.195,0.111,400,0.48,Blue
Emerald,2.8,Good,VVS2,58.3,54.67,5.89,8.23,2.32,64.78,3.49,1.3,0.517,0.461,0.457,500,0.47,Red
Ruby,1.61,Good,VS2,59.99,50.23,9.9,3.37,5.2,75.01,3.7,4.12,0.569,0.299,0.105,450,,FaintYellow
Topaz,1.53,Good,VVS2,63.85,67.38,3.62,4.05,6.17,61.43,3.1,1.29,0.561,0.339,0.272,500,0.32,LightYellow
Ruby,4.37,Fair,IF,56.86,66.38,,4.75,6.25,75.5,4.71,0.45,0.236,0.288,0.234,400,0.38,White
Emerald,0.9,Fair,SI1,58.77,62.79,9.26,10,6.1,61.7,1.63,4.85,0.316,0.555,0.594,400,0.63,LightYellow
